date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:21:07	44593/44593	---MCZ	200	added ('OK')	text/html	etag:W/%22ae31-40203ba43b700%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/TiffExif.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/TiffExif.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:07	12469/12469	---MCZ	200	added ('OK')	text/html	etag:W/%2230b5-40203ba52f940%22	http://mediachest.sourceforge.net/mediautil/javadocs/overview-tree.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/overview-tree.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-summary.html)
21:21:08	4768/4768	---MCZ	200	added ('OK')	text/html	etag:W/%2212a0-40203b9d8e740%22	http://mediachest.sourceforge.net/mediautil/javadocs/deprecated-list.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/deprecated-list.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-summary.html)
21:21:09	213487/213487	---MCZ	200	added ('OK')	text/html	etag:W/%22341ef-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/index-all.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/index-all.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-summary.html)
21:21:09	8867/8867	---MCZ	200	added ('OK')	text/html	etag:W/%2222a3-40203b9d8e740%22	http://mediachest.sourceforge.net/mediautil/javadocs/help-doc.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/help-doc.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-summary.html)
21:21:09	1341/1341	---MCZ	200	added ('OK')	text/html	etag:W/%2253d-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/index.html?overview-summary.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/indexe0d5.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-summary.html)
21:21:10	3757/3757	---MCZ	200	added ('OK')	text/html	etag:W/%22ead-40203b9d8e740%22	http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-noframe.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/allclasses-noframe.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-summary.html)
21:21:10	7974/7974	---MCZ	200	added ('OK')	text/html	etag:W/%221f26-40203ba06ae00%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/package-summary.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/package-summary.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-summary.html)
21:21:11	10808/10808	---MCZ	200	added ('OK')	text/html	etag:W/%222a38-40203b9f76bc0%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/package-summary.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/package-summary.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-summary.html)
21:21:11	6063/6063	---MCZ	200	added ('OK')	text/html	etag:W/%2217af-40203ba43b700%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/package-summary.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/package-summary.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-summary.html)
21:21:12	10019/10019	---MCZ	200	added ('OK')	text/html	etag:W/%222723-40203ba43b700%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/package-summary.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/package-summary.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/overview-summary.html)
21:21:12	9493/9493	---MCZ	200	added ('OK')	text/html	etag:W/%222515-40203ba43b700%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/package-tree.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/package-tree.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/AbstractImageInfo.html)
21:21:12	1341/1341	---MCZ	200	added ('OK')	text/html	etag:W/%2253d-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/index.html?mediautil/image/jpeg/AbstractImageInfo.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/indexcc5f.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/AbstractImageInfo.html)
21:21:13	57/57	---M--	200	added ('OK')	image/gif	etag:%2239-40203ba52f940%22	http://mediachest.sourceforge.net/mediautil/javadocs/resources/inherit.gif	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/resources/inherit.gif	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/AbstractImageInfo.html)
21:21:14	25389/25389	---MCZ	200	added ('OK')	text/html	etag:W/%22632d-40203ba52f940%22	http://mediachest.sourceforge.net/mediautil/javadocs/serialized-form.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/serialized-form.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/AbstractImageInfo.html)
21:21:14	138817/138817	---MCZ	200	added ('OK')	text/html	etag:W/%2221e41-40203b9d8e740%22	http://mediachest.sourceforge.net/mediautil/javadocs/constant-values.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/constant-values.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/AbstractImageInfo.html)
21:21:14	1341/1341	---MCZ	200	added ('OK')	text/html	etag:W/%2253d-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/index.html?mediautil/image/jpeg/AdvancedImage.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/index8691.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/AdvancedImage.html)
21:21:15	7370/7370	---MCZ	200	added ('OK')	text/html	etag:W/%221cca-40203ba06ae00%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/package-tree.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/package-tree.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/BasicIo.html)
21:21:15	1341/1341	---MCZ	200	added ('OK')	text/html	etag:W/%2253d-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/index.html?mediautil/gen/BasicIo.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/index67b5.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/BasicIo.html)
21:21:16	1341/1341	---MCZ	200	added ('OK')	text/html	etag:W/%2253d-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/index.html?mediautil/image/jpeg/BasicJpeg.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/indexc8d9.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/BasicJpeg.html)
21:21:16	1341/1341	---MCZ	200	added ('OK')	text/html	etag:W/%2253d-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/index.html?mediautil/image/jpeg/BasicJpegIo.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/index9ea4.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/BasicJpegIo.html)
21:21:23	7681/7681	---MCZ	200	added ('OK')	text/html	etag:W/%221e01-40203b9f76bc0%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/package-tree.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/package-tree.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/ByteCounter.html)
21:21:24	1341/1341	---MCZ	200	added ('OK')	text/html	etag:W/%2253d-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/index.html?mediautil/gen/directio/ByteCounter.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/indexb842.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/ByteCounter.html)
21:21:24	1341/1341	---MCZ	200	added ('OK')	text/html	etag:W/%2253d-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/index.html?mediautil/image/jpeg/CIFF.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/indexd3b9.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/CIFF.html)
21:21:25	1341/1341	---MCZ	200	added ('OK')	text/html	etag:W/%2253d-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/index.html?mediautil/image/jpeg/Entry.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/indexb1e6.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/Entry.html)
21:21:25	1341/1341	---MCZ	200	added ('OK')	text/html	etag:W/%2253d-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/index.html?mediautil/image/jpeg/Exif.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/indexf078.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/Exif.html)
